,cold,drought,genotoxic,heat,osmotic,salt,UVB,Wounding
At1g30370,0,0,0,0,1,0,1,1
At1g30490,0,0,0,1,0,0,0,0
At1g30500,0,0,0,1,1,1,0,0
At1g30620,0,1,0,0,1,0,1,1
At1g30640,0,0,0,0,1,0,1,1
At1g30960,0,0,0,0,0,0,1,0
At1g31010,0,0,0,0,0,0,1,0
At1g31130,0,0,0,0,0,0,1,1
At1g31280,0,0,1,1,0,0,0,0
At1g31310,0,0,0,1,0,0,1,0
At1g31320,0,0,0,1,0,0,0,0
At1g31335,0,0,0,1,0,0,0,0
At1g31540,0,0,0,0,0,0,1,0
At1g31550,0,1,0,0,0,0,0,1
At1g31680,0,1,0,0,0,1,0,0
At1g31690,0,1,0,0,0,1,0,0
At1g31700,0,1,0,0,0,0,0,0
At1g31710,0,1,0,0,0,0,0,0
At1g31750,0,0,0,0,1,1,1,0
At1g31770,0,0,0,0,0,0,0,1
At1g31830,0,0,0,0,1,0,0,0
At1g32090,0,0,0,1,0,0,0,0
At1g32120,0,0,0,0,0,0,1,0
At1g32150,0,0,0,0,0,0,1,0
At1g32230,0,0,0,0,0,0,1,0
At1g32350,0,0,0,0,0,0,1,0
At1g32560,0,0,0,0,1,1,0,0
At1g32640,1,1,0,0,1,0,1,1
At1g32690,0,0,0,0,0,0,1,0
At1g32860,0,0,0,1,0,0,0,1
At1g32870,0,0,0,1,1,1,1,0
At1g32920,1,0,0,0,0,0,1,1
At1g32940,0,0,0,0,0,0,1,0
At1g32960,0,0,0,0,1,0,1,0
At1g33030,0,0,0,0,1,0,1,0
At1g33230,0,0,0,0,0,0,0,1
At1g33260,0,1,0,0,1,1,0,0
At1g33340,0,0,0,0,0,0,1,0
At1g33420,0,0,0,1,0,0,1,0
At1g33430,0,0,0,0,0,0,1,0
At1g33500,0,0,0,1,0,0,0,0
At1g33560,0,0,0,0,0,0,1,0
At1g33590,0,0,0,0,1,0,1,0
At1g33600,1,0,0,0,1,0,1,0
At1g33700,0,0,0,0,1,1,0,0
At1g33720,0,0,0,0,0,0,1,0
At1g33760,1,0,0,0,0,0,1,1
At1g33770,0,0,0,1,0,0,0,0
At1g33860,0,0,0,0,0,0,1,0
At1g33930,0,0,1,0,0,0,0,0
